a 1,نهايت اعليٰ ـ بهترين
albinism,بے لوئي حالت ـ بھوڑے پن کي کيفيت
albino,بھوڑا ـ چندھا
albite,ايک قسم کي سفيد رنگ کي پتھريلي دھات
album,بياض ـ تصويروں اور دستخط کي کتاب
albumen,انڈے کي سفيدي ـ ايک قسم کا سفيد ماده جو بيجوں اور گودے دار جوڑوں ميں پايا جاتا هے ـ مغز ـ گري ـ گودا
albumenize,تصوير کو چمکدار بنانا ـ کاغذ پر بيضوي روغن چڑھانا
albuminold,انڈے کي سفيدي جيسا
albuminous,مغزدار ـ گودے دار ـ انڈے کي سفيدي
alburnum,ايسے درخت چن کي چھال کے نيچے رسيلي لکڑي هوتي هے
alcachest,محلل
alcaic,يوناني شهر القيوس کے متعلق
alchemic,کيميا گري کے متعلق
alchemical,کيميا کے بارے ميں ـ الکيميائي
alchemist,مهوس ـ کيمياگر
alchemistic,کيميا گرانه
alchemize,ماهيت تبديل کرنا ـ کيميا بنانا
alchemy,علم کيميا ـ کيميا گري
alcohol,الغول ـ روح شراب ـ وه عرق جس ميں الکحل هو
alcoholate,الکوحل کا ايک مرکب
alcoholic,الکحلي ـ الغوبي
alcoholism,انساني جسم پر شراب کے اثرات ـ الکحيت
alcoholization,الکحل کے اثر پذيري ـ الکحل ميں ڈبونا يا تر کرنا
alcoholized,الکحل پلايا هوا
alcoholometer,وه آله جو مسکر عرق ميں الکحل کي مقدار بتائے ـ الکحل پيما
alcoholometry,الکحل پيمائي
alcoran,قرآن جو بزيعه وحي حضرت محمدﷺ  پر نازل هوا
alcoranic,قرآني
alcove,طاقچه ـ محراب ـ آرام گاه ـ خواب گاه ـ گرميوں ميں سونے کا مختصر کمره
aldehyde,ايک بے رنگ اڑ جانے والا مرکب ماده جو الکحل پر آکسيجن کے اثر پيدا کرتا هے
alder,بيد کي قسم کا ايک درخت
alderman,مير بلديه کا باهب ـ دوسرے درجے کا عهديدار
aldermanry,الڈر مين کا عهده ـ وه علاقه جو الڈر مين کے ماتحت هو
alderney,ايک قسم کي پستي قد بھورے رنگ کي گائے جو بهت زياده دودھ ديتي هے
aldine,الدوسي ـ خاص طرز کے ٹائپ کے حروف کے نام
ale,جو کي شراب ـ رنگ رلياں ـ مجلس شراب
alebench,وه بينچ جو گاهکوں کيلئے شراب خانے کے دروازے پر رکھي هو
aleconner,انسپيکٹر آب کاري ـ وه عهديدار جو شراب پر نگراني رکھے
alegar,جو کي خمير سے تيار کيا هوا سرکه
alehouse,شراب خانه ـ ميخانه
alembic,بھيکا ـ شراب کشيد کرنے کا آله
alert,هوشيار ـ کمر بسته ـ چست
alertly,هوشياري سے ـ مستعدي سے
alertness,آمادگي ـ چستي ـ هوشياري ـ مستعدي
aleuron,وه سفيد ماده جو بيجوں کے مغز ميں پايا جاتا هے
alewife,شراب بيچنے والي عورت
alexanderine,فرانسيسي چھ رکني بحر
alfalfa,ايک قسم کي گھاس ـ لوسن جو ايک بار کاست کرنے سے چھ فصليں ديتي هے
alfresco,کھلي هوا ميں ـ ميدان ميں
alga,سمندري کاني ـ بحري گھاس
algal,اشنه نما ـ کاني سا
algebaist,جبردان
algebra,الجبرا ـ جيرومقابله
algebraic,الجبرے کا
algebraically,الجبرے سے
algedity,لرزه ـ سردي
algid,جوڑي ميں مبتلا ـ کپکپي
algological,اشني ـ کاني کے متعلق
algologist,اشنيات کا ماهر
algology,بحري نباتات کا علم
algorism,عربي اعشاريه
alias,عرف ـ عرف نامي ـ مشهور نام
alibi,موقع واردات پر غير موجودگي کا عذر ـ دوسري جگه هونا
alidade,اصطرلاب کا درجه نما ـ زاويه
alien,غير ـ غير ملکي ـ پرديسي ـ الگ ـ مختليف ـ عليحده ـ بے جوڑ ـ جدا
alienability,انتقال پذيري
alienable,قابل منتقلي ـ انتقال پذير
alienate,منحرف کرنا ـ بيگانه کرنا ـ موڑ دينا
alienation,اجنييت ـ بيگانگي ـ فروخت ـ انتقال
alienator,علهيده کرنے والا ـ منتقل کرنے والا
alienee,منتقل اليه ـ جس کے هاتھ فروخت کيا جائے
alienism,دماغي امراج کا مطالعه
alienist,دماغي امراج کا معالج
alight,اترنا ـ نيچے آنا ـ سواري سے اترنا
align,صف باندھنا ـ قطار بنانا ـ ايک خط ميں لانا
alignment,عمارت کا خاکه ـ قطار ـ صف بندي
alike,هم شکل ـ يکساں ـ هم رنگ
aliment,غذا ـ خوراک ـ قوت ـ سهارا ـ گزارا ـ دماغي غذا
alimental,مقوي ـ طاقت بخش
alimentally,قوت بخش طريقه پر
alimentary,غذائيت سے بھرپور ـ مقوي ـ کھانے کے قابل
alimentarycanal,معدے تک غذا پهنچانے والي نالي
alimentation,عمل ـ تغذيه ـ گزارا
alimony,پرورش ـ گزارا ـ نان و نفته جو شوهر پر بيوي کي طرف سے واجب هے
aliquot,وه عدد جو پورا پورا تقسيم هو جائے اور کچھ باقي نه بچے
alive,جيتا جاگتا ـ زنده ـ باخبر ـ احساس رکھنے والا ـ چالاک ـ تيار
alizarin,مجيٹھ ـ مجيٹھے کا رنگ
alkahest,محلل ـ محلل کل
alkali,سجي ـ جوا کھار ـ القلي ـ شوره
alkalifiable,شوره بنائے جانے کے قابل
alkalify,سجي شوره بنانا
alkalimetry,شوره يا سجي کي تيزي کا اندازه
alkaline,قلمي صفت ـ قلمي شوره کي طرح کھاري
alkalization,سجي جيسا ـ شوره سازي
alkalize,شوره کي طرح بنانا ـ کھاري بنانا
alkaloid,سخت قسم کي سجي يا شوره کا جز رکھنے والي چيزيں
alkaltimetrical,شوره يا سجي کي تيزي کي پيمائش کے متعلق
alkanet,مهندي
all,سب ـ سارا ـ تمام
allah,اﷲ )بے شک جو ساري کائنات کا مالک هي(
allay,زور کم کرنا ـ دھيما کرنا
allegation,دعوي ـ عذر ـ الزام ـ حتمي ـ بيان
allege,الزام دينا ـ بيان حلفي ـ منسوب کرنا ـ بطور دليل پيش کرنا
allegeable,پيش کرنے کے قابل ـ قابل بيان
allegeance,جان نثاري ـ نمک حلالي
alleged,بياں کرده
allegoric,مجازي ـ مثالي
allegorical,پيرانه مجاز ميں ـ مثالي
allegorically,تمثيلا ـ مجازا
allegorist,تمثيل نگار ـ مجاز ميں بياں کرنے والا
allegory,تمثيل ـ مجازيه ـ علامت ـ شان ـ پيکر
alleluia,سب تعريف تجھ کو اے اﷲ ـ خدا کي تعريف ـ حمد ه ثناه
alleviate,هلکا کرنا ـ کم کرنا
alleviation,تخفيف ـ کمي ـ تسکين
alleviative,تسکين دينے والي دوا ـ درد کم کرنے والا
alleviator,درد کم کرنے والا
alleviatory,مسکن ـ تسکين دينے والي دوا
alley,پٹري ـ تنگ راسته
alliance,رشته ـ تعلق ـ ناطه ـ قرابت ـ معاهده
alligation,مختلف قدروں کا حساب ـ در کھاته
alligator,نهنگ ـ گھڑيال ـ مگرمچھ
alliterate,تجنيس کرنا ـ تجنيس حرفي يا لفظي بنانا
alliteration,سه حرفي صنعت ـ تجنيس خطي
alliterative,تجنيس سے متعلق
alliteratively,تجنيسي طور پر
allocate,مقرر کرنا ـ تجويز کرنا ـ قائم کرنا
allocation,تعين ـ استقرار ـ نامزدگي
allodial,آزاد اور مالکانه زمينداري کے متعلق
allodialism,آذاد زمينداري کي حمايت
allodialist,آزادانه زمينداري کے نظريه کو ماننے والا
allodially,آزادانه طور پر
alloduim,آزاد زمينداري ـ کل ملکيت
allogamy,پيوند لگانا ـ قلم باندھنا
allopathic,علاج بالضد سے متعلق
allopathically,علاج بالضد کے اصول کے مطابق
allopathy,امراض کا علاج مخالف اثرات سے کرنا ـ علاج بالضد
allot,بانٹنا ـ تقسيم کرنا ـ حصه دينا ـ مقرر کرنا
allotment,تقسيم ـ حصه ـ بخرا
allottee,وه شخص جس که جائداد دي جائے
allowance,وظيفه دينا ـ خوراک دينا ـ يوميه ـ منصب
alloy,ملاوٹ کھوٹ ـ مختلف دھاتوں کا مرکب
allseed,جنوبي انگلستان کا ساحلي پودا
allspice,خوشبودار جھاڑياں ـ جميکا کي ايک خاص قلغل
allude,اشارے  کنانے ميں کهنا
allure,لبھانا ـ موه لينا ـ سبز باغ دکھانا
allurement,اغواه ـ ترغيب ـ لالچ
alluring,دل موھنے والا ـ دل لبھانے والي
alluringly,ترغيب دلاتے هوئے ـ ورغلانے کے طور پر
allusion,ايما ـ رمز ـ اشاره ـ کنايه ـ حواله
allusive,پر اشاره ـ رغبت آميز
allusively,بالکنايه ـ تلميحا ـ اشارتاً
allusiveness,کنايه آميزي
alluvial,زرخيز ـ سيلاهي
alluvion,نئي زمين ـ وه مٹي جو پهاڑ کے ساتھ آتي اور جم جاتي هے
alluvium,سيلاب سے آتي هوئي مٹي
ally,دوست ـ زفيق ـ سنگ مرمر کي گولي ـ ملانا ـ متفق کرنا ـ رشته جوڑنا
alma,مصري رقاصه
almagest,بطليموس کي کتاب کيميا اور فلکيات پر جه آج تک مفيد کتاب سمجھي جاتي هے
almanac,جنتري ـ کلينڈر ـ تقويم
almandine,سرخ رنگ کا قيمتي پھتر جس ميں بنفسي رنگ جھلکتا هے
almightiness,قدرت کامله
almighty,حق تعالي ـ قادر مطلق
almner,سرکاري شعبه خيرات و صدقات کا کارکن
almond,بادام نما پھل ـ بادام
almoner,سرکاري شعبه خيرات و صدقات کا کارکن
almost,قريب قريب
alms,خيرات ـ خدا کے نام پر دي هوئي چيز
aloe,تھوپر کي قسم کا پودا ـ ايلوا
aloes,دست آور دوا
aloetic,ايلو کا اثر رکھنے والي
aloft,اوپر کي طرف ـ اونچا ـ بلند
alone,صرف ـ تنها ـ اکيلا
along,ايک سرے سے دوسرے سرے تک ساتھ ساتھ
alongside,ساتھ ساتھ ـ پهلو به پهلو
aloof,بے تعلق ـ الگ تھلگ
aloofness,بے تعلقي ـ بے ربطي ـ تنهائي
aloud,به آوار بلند
alp,پهاڑ کي چوٹي ـ سبز چراگاھ
alpaca,لاما جس کے لمبے نرم بال هوتے هيں ـ کپڑے کي اون سے بنائے جائيں
alpenstock,لامبي مضبوط چھڑن جو پهاڑ کي چڑھائي ميں استعمال هوتي هے
alpha,يوناني زبان کا پهلا حرف
alphabet,حروف تهجي
alphabetic,حروف تهجي کے متعلق
alphabetical,حروف تهجي کے مطابق
alpine,کوه الپس کے متعلق
alpinist,کوه الپس پر چڑھنے والا
already,ايک وقت تک کيا هوا ـ وقت مقرره تک
alsatia,جرمني کا ايک صوبه
alsation,کتوں کي ايک نسل
also,مزيد برآں ـ ساتھ ساتھ ـ بھي ـ علاوه
altar,قربان گاه ـ نذر نياز چڑھانے کا چبوتره
altarcloth,قربان گاه کا غلاف
altarwise,قربان گاه کي طرح
altazimuth,ايک آله جس سے اجرام فلکي کي سمت اور بلندي معلوم کرتے هيں
alter,بدلنا ـ تبديل کرنا ـ تغير کرنا ـمرمت کرنا ـ اصلاح کرنا
alterability,اصلاح اور تبديلي کي صلاحيت
alteration,تغير ه تبديل ـ تبديلي ـ رد ه بدل
alterative,وه دوا جو آهسته آهسته مرض کو دور کردے
altercate,جھگڑنا ـ بحث و تکرار کرنا
altercation,حجت ـ تو تو ميں ميں ـ جھگڑا ـ بحث
alternate,ده چيزوں کا يکے بعد ديگرے آنا ـ ادل بدل کرنا
alternately,اپني اپني باري سے ـ ايک کے بعد دوسرا ـ باري باري سے
alternating,بطريق آخر ـ بصورت ديگر
alternation,هيرا پھيري ـ ادل بدل
alternative,سبيل ـ راسته ـ صورت
although,اس کے برعکس ـ باوجوديکه ـ پرچند ـ اگرچه
altimeter,بلندي کي پيمائش کا آله ـ ارتفاع پيما
altitude,اونچائي ـ ارتقاع ـ بلندي ـ گهرائي ـ اونچي جگهيں
alto,پاٹ دار آواز ميں گانے والا
altogether,سب کو ملا کر ـ جمله ـ تمام تر
altorelievo,ابھري هوئي تصوير يا مورت
altruism,ايثار ـ بے نفسي
altruist,عوام کا بهي خواه ـ صاحب ايثار
altruistic,فياضانه ـ ايثار آميز
altruistically,رضائے الهي کے لئے ـ بے غرضانه طور پر
alum,پھٹکري ـ پھٹکري ملا هوا نمک
alumina,المونيم اور آکسيجن کا مرکب جو ايک قسم کا سفيد سفوف هوتا هے
aluminous,پھٹکري جيسا
aluminum,ايک قسم کي هلکي دھات
alumnus,شاگرد ـ طالبعلم
alveolar,شهد کے چھتے کي طرح
alveolate,مشبک ـ شهد کي مکھيوں کے چھتے کي طرح
alveolus,دانت کا گھر
alway,هميشه ـ سدا ـ مدام
am,هوں
amadou,خشک ماده
amain,بے تحاشه ـ بڑے زور سے ـ شدت سے
amalgamate,آميزش هونا ـ ملانا
amalgamation,امتزاج ـ آميزش
amalgamative,سمونے والا ـ امتزاج کرنے والا
amalgamator,ملانے والا ـ خط کرنے والا
amalgum,پاره کے ساتھ کسي دوسري دھات کا ميل
amanuenses,املا نويس ـ سن کر لکھنے والا
amanuensis,املا نويس
amarant,سدا بهار پھول
amaranthine,سدا بهار ـ شاداب
amaranthus,سدا بهار
amarantus,سدا بهار
amaryllis,نرگس کي قسم کا ايک پھول ـ يوناني ديهاتي لڑکي
amass,جمع کرنا ـ فراهم کرنا
amateur,شوقين ـ کسي فن کو شوقيه سيکھنے والا
amateurish,شوقيه
amateurishly,شوقيه طور پر
amateurishness,شوقيت
amateurism,شوقيني
amative,عاشق مزاجي ـ عشق
amativeness,عشق ـ پربت
amatorial,شوقيني
amatory,شهواني ـ عشقيه
amaurosis,ضعيف بصر ـ اندھا پن
amautrotic,اندھے پن کا ـ نابينائي کا
amaze,حيران کرنا ـ متحير کرنا
amazedly,حيرت انگيز انداز سے
amazement,عجب ـ حيرت
amazing,تعجب انگيز ـ حيران کن
amazingly,تعجب سے
amazon,يوناني تاتاري جنگنو عورت ـ تنومند بهادر عورت
amazonian,بھاري بھر کم ـ قوي هيکل عورت
ambages,چکر دار راستے
ambassador,سفير ـ ايلچي ـ بااختيار سفير
ambassadorial,سفارتي طور پر
ambassadress,سفير کي بيوي ـ سفيره
amber,عنبر کهوبا
ambergres,ايک قسم کا مومي ماده ـ کچا عنبر
ambidexter,دغا باز ـ دو پتھا
ambidexterity,دونوں هاتھوں کا يکساں چلنا
ambidextrous,دغا باز
ambidextrously,دونوں هاتھوں سے
ambidextrousnes,دوهھتا پن
ambient,محصور ـ محفوظ
ambiguity,ابهام ـ مبهم بات
ambiguous,مشکوک ـ گول مول
ambiguously,غير واضع طور پر
ambiguousness,مشکوکيت
ambit,حد ـ وسعت
ambition,هوس ـ اولوالعزمي
ambitious,آرزو مند ـ مشتاق
ambitiously,بلند نظري سے ـ عالي حوصلگي سے
ambitiousness,بلند نظري
amble,گھوڑے کي چال ـ سبک رفتاري
ambrosia,ديوتاؤں کي خوراک
ambrosial,معطر ـ مهکتي هوئي
ambulance,مريض ڈولي يا گاڑي ـ ايمبولينس
ambuscade,کمين گاھ ـ گھات
ambush,چھپي هوئي فوج
ameer,سردار ـ حاکم
ameliorate,بهتر بنانا ـ بهتر هونا
amelioration,بهتري ـ اصلاح ـ درستي
ameliorative,اصلاحي ـ رفاهي
ameliorator,ترقي دينے والا ـ بهتر بنانے والا
amen,آمين ـ خدا ايسا هي کرے
amenability,معقوليت ـ جواب دهي
amenable,ماننے والا
amenableness,صلاحيت ـ اطاعت پذيري
amenably,اثر پذيري سے
amend,سيدھي راه پر آنا ـ تائب هونا
amendable,ترميم پذير ـ قابل اصلاح
amendment,درستي ـ اصلاح
amenity,خوشگواري ـ آرام پهنچانے والي چيز
america,امريکه
american,امريکن
americanism,امريکه پسندي
americanize,امريکي محاورات بولنا
amethyst,باقوت جمري
amethystive,ياقوتي
amiability,دلنوازي ـ خوش خلقي ـ محبت
amiable,ملنسار ـ خوش خلق
amiableness,محبت ـ تلطف
amiably,ملنساري سے ـ از راه لطف
amice,مذهبي لباس کا ايک حصه
amid,بيج ميں ـ درميان ميں
amide,جهاز کے وسط ميں
amidin,نشاسته کا حل هو جابے والا حصه
amidship,جهاز کے وسط ميں
amis,غلط ـ بيجا ـ اپني جگه سے هٹا هوا
amiss,غلط ـ بيجا
amity,بھائي چاره ـ دوستي
ammeter,برق پيما
ammonia,ايک بے رنگ گيس جو ناک اور آنکھ پر تيز اثر کرتي هے
ammunition,گوله بارود ـ فوجي سامان
amnesia,نسيان ـ پھول
amnesty,عام معافي ـ نظر انداز کرنا
amoeba,پائي ابتدائي ذي روح ـ اميبا
among,درمياني ـ بيچ ـ مابين
amongst,درميان ـ بيچ ـ مابين
amorous,عشق باز ـ عاشق
amorously,عاشقانه طور پر
amorousness,عاشق مزاجي
amorphous,بے شکلا ـ جس کي کوئي شکل نه هو ـ بے هنگم
amount,مقدار ـ معافي ـ کسي وزن کا هونا
amour,عاشقانه لگاؤ ـ عشق کا معامله
amphibia,خشکي اور تري دونوں کا وه جانور جو خشکي اور پاني دونوں رهے
amphibian,خشکي و تري دونوں کا وه جانور جو خشکي و تري دونوں ميں رهے
amphibious,جس کا تعلق خشقي اور تري دونوں سے هو
amphitheater,گول تماشا گاه جس ميں چاروں طرف نشستيں هوں ـ گول گھر ـ دنگل
ampitheater,گول گھر ـ دنگل
ample,فراخ ـ کشاده ـ وسيع
amplification,پھيلاؤ ـ توسيع
amplified,بڑا ـ طول ـ بلند
amplify,بڑا کرنا ـ طول دينا ـ آوار بلند کرنا
amplitude,شان ـ عزت ـ وقار
amputate,کاٹ دينا ـ قطع کرنا
amputation,قطع و بريد ـ قطع عضو
amuck,پاگل هو کر لوگوں پر حمله کرنا
amulet,تعويذ
amuse,دلچسپي پيدا کرنا ـ هنسانا
amusement,دل بهلاوا ـ کھيل ـ تفريح
amythicize,افسانه بنانا ـ وهمي اور فرضي واقعات کا رنگ دينا
an,ايک ـ واحد
anabaptism,باز اصطباع ـ ايک عيسائي فرقه کا مزهبي عقيده
anabaptist,دوباره ـ بپتسمه دينے والا
anachronic,جس ميں غلط وقت کا حواله ديا جائے
anachronism,زمانه کا حساب لگائے ميں غلطي
anaconda,لنکا کا طڑا ازدھا
anaemia,خون کي کمي کا مرض ـ خون کي کمي
anaesthesia,بے حسي ـ غفلت ـ بيهوشي
anaesthetic,بيهوشي پودا کرنے والي
anagram,حروف آگے پيچھے کرکے نيا لفظ بنانا
anal,مقصد کے متعلق
analog,ايک جيسا هونا ـ تناسب ـ مطابقت
analogic,مثالي ـ تمثيلي
analogist,نظير دينے والا ـ تمثيل پسند
analogous,ملتا جلتا ـ هم شکل
analyse,تشريح کرنا ـ تجزيه کرنا ـ خلاصه بيان کرنا
analysis,تحليل ـ تجزيه
analyst,فن تحليل کا ماهر ـ محلل ـ تجزيه نگار
analytic,تحليلي ـ تشريحي
analytical,جس ميں تحليلي اسلوب سے کام ليا جائے
anarchic,بے قانون ـ بے نظم و ضبط
anarchical,بے نظم و ضبط ـ نراجي
anarchist,نراج کا حامي
anarchy,قانوني حکومت کا تعطل
anathema,ملعون چيز
anathematize,برا کهنا ـ لعنت بھيجنا
anatomical,علم الاعضائ سے متعلق
anatomist,علم الاعضائ کا ماهر
anatomize,اعضائ کو علحيده کرنا
anatomy,علم الاعضائ
ancestor,آباواجداد ـ باپ دادا
ancestral,نسلي ـ آبائي
ancestry,نسب
anchor,جهاز کا لنگر
anchorage,لنگر اندازي
anchorete,گوشه نشين ـ جوگي
anchovy,ايک چھوٹي مچھلي
ancient,قديم ـ پرانا
anciently,قديمي
ancillary,معمولي ـ گھٹيا ـ ماتحت
and,اور بھي ـ اور ـ اس کے ساتھ
anecdotal,روايت کے مطابق
anecdote,واقعه ـ قصه ـ روايت
anecdotist,داستان گو ـ قصه گو
anemoghraph,ايسا آله جو کاغذ پر هوا کي رفتار اور اس کے رخ کا خاکه بنائے
anemometer,هوا کا زور دريافت کرنے کا آله
anemone,ايک قسم کے پودے
aneroid,هوا کے دباؤ کے متعلق
anew,نئے سرے سے
angel,ملکوتي صفات کا حامل ـ فرشته
anger,غصه ـ خشم ـ ناراضي
angina,دل کي کمزوري
angle,زاويه ـ گوشه ـ کونه
angler,مچھلي کا شکاري
anglican,انگلستان کے گرجا کا کارکن
anglicism,انگريزي محاوره
anglicize,انگريزي بنانا
anglomania,انتهاهي افگريزيت پسندي
angola,ايک نفس کپڑا جو نگولا اون سے بنايا جاتا هے
angora,ايک نفيس کپڑا
angry,خشم آلود ـ غصه ميں
anguish,روحاني اذيت يا تکليف
angular,کونے رکھنے والا ـ گوشه دار
anhydrous,خشک ـ بغير پاني کے
anilin,ايک کيميائي مرکب
aniline,ايک کيميائي مرکب جو رنگ سازي کے کام آتا هے
animadversion,برا بھا کهنا ـ تنقيد ـ ملامت
animadvert,تنقيد کرنا
animal,جانور ـ جاندار
animalism,حيوانيت ـ حيواني حرکت
animality,حيوان پن
animate,زنده کرنا ـ حرکت پيدا کرنا ـ جاندار
animism,يه عقيده که حيواني مظاهر ايک غير مادي روح سے پيدا هوتے هيں
animist,بھوت پربت کا ماننے والا
animosity,خصوصيت ـ دشمني
animus,روح رواں ـ دشمني
aniseed,باديان ـ سونف
anker,شراب کا پيمانه
ankle,تخنه ـ گٹنا
anklet,پائل ـ پازيب
anna,آنه
annal,واقعه
annalist,تاريخي واقعات ترتيب دينے والا
annex,ساتھ ملانا ـ شامل کرنا
annexation,عمارت اضافه ـ توسيع
annihilate,فنا کر دينا ـ مٹا دينا
annihilation,کالعدم هونا ـ هلاکت
anniversary,سالگره ـ برسي
anno,سن عسوي
annonciator,اعلان کرنے والا ـ مشتهر
annotate,کتاب کي تفصيل لکھنا ـ شرح لکھنا
annotation,حاشيه ـ شرح
annotator,شارح ـ حاشيه نگار
announce,تشهير کرنا ـ اعلان کرنا
annoy,ناراض کرنا
annoyance,ناراضي
annual,سالانه
annually,هر سال پر ـ هر سال
annuity,سالانه وظيفه
annul,منسوض کرنا
annulment,منسوخي ـ تسنيخ
annunciate,مشهور کرنا ـ اعلان کرنا
annunciation,شهرت ـ اعلان
anodyne,مسکن ـ درد کم کرنے والي دوا
anomalous,نامناسب ـ غلط
anomaly,غلطي ـ بے قاعدگي
anonmity,بے عنواني ـ گمنامي
anonymous,بے نام ـ گمنام
anopheles,ايک قسم کا مچھر جس سے مليريا هوتا هے
another,ايک اور ـ مزيذ ـ دوسرا
answer,جواب دينا ـ جوابي کاروائي
ant,چيونٹي
antagonism,مخالفت ـ دشمني
antagonist,دشمن ـ حريف
antagonistic,مخالفانه ـ حريفانه
antagonize,مخالفت کرنا ـ دشمن بنانا
antarctic,قطب جنوبي سے متعلق
antecedence,اوليت ـ سبقت
antecedent,پهلے واقع هونے والا ـ قبل آنے والا
antechamber,بڑے کمرے کے ساتھ چھوٹا کمره
antechapel,گرجے کي مغربي جانب بيروني حصه
antedate,اصلي تاريخ سے پهلے کي تاريخ ڈالنا
antediluvian,پرانا ـ طوفان سے پهلے کا
antelope,آهو کي ايک قسم ـ مرگ
antemeridiem,دوپهر سے نصف شب تک
antenatal,پيدائش سے پهلے
antenna,کيڑوں کے حساس اعضائ يا بال ـ محاس
anterior,پيشتر ـ آگے کا ـ سامنے کا
anthem,قومي ترانه ـ حمد
anther,زيره ـ زيره گل
antheral,زيره گل کے متعلق
antheriferous,زيره دار
antheriod,زيره گل
anthologist,منتخب اشعار کا مؤلف
anthology,بياض اشعار ـ منتخب کلام
anthony,سينيٹ انتھني جو سور کے چرواھوں کا سرپرست مانا جاتا تھا
anthracite,وه کوئله جس ميں پتھر کا زياده جز هوتا هے
anthrax,پھوڑا ـ پھنسي ـ دنبل
anthropocentric,مرکوز باليشر ـ اس عقيده سے متعلق که انسان هي کائنات کا مرکز هے
anthropography,انسان کي نسل اور مختلف قوموں کي جغرافيائي تعليم کا علم
anthropoid,انسان جيسا
anthropologist,انسانيت دان
anthropology,علم الانسان
anthropophagous,آدم خور
anti,مخالف ـ حريف
antibillious,قاطع صفرا
antic,تماشا ـ کھيل
antichrist,دجال ـ دشمن حضرت مسيح
antichristian,متعلق به دجال
anticipant,پهل کرنے والا
anticipate,پيش بيني کرنا ـ پهل کرنا
anticipation,سبقت ـ پيش بندي
anticipator,قبل از وقت سمجھنے والا
anticipatory,توقع کا
anticlimax,عروج کي ضد ـ اتار
antidote,ترياق ـ زهر مار
antimasque,نقل ـ طريفانه ادا کاري
antimony,سرمه ـ کحل ـ انجن
antinomian,اخلاق قانون کا منکر
antipathetical,نه اکراه
antipathy,دشمني ـ نفرت ـ بير
antiphlogistic,ورم کو تحليل کرنے والا
antipode,وه مقامات جو ايک دوسرے کے مقابل هوں ـ برعکس ـ مقابل
antipole,بالکل برعکس ـ قطب مقابل
antipope,پاپائے منتخبه کے مقابلے ميں کسي دوسرے کا انتخاب کرنا
antiquarian,آثار قديمه کا ماهر
antiquary,پرائي چيزيں جمع کرنے والا
antiquate,پرانا قرار دينا
antique,پرانا ـ قديم ـ کهنه
antiquity,قديم رسوم يا آثار
antiscriptural,منکر وحي
antisemite,يهوديوں کا مخالف
antisemitic,سامي نسل کا مخالف
antiseptic,صاف کرنے والا ـ سڑن روکنے والا
antisocial,سماج دشمن
antitheism,دھريت ـ خدا کي وجود سے انکار )نااعضوبلله(
antitheist,دھريه ـ خدا کا منکر )کافر(
antitheses,صنعت تضاد ـ ضد
antithesis,تضاد تقابل ـ ضد
antithetic,مقابل ـ ضديں رکھنے والا
antitype,اصل ـ اساس
antler,شاخدار سينگ
antonym,ضد ـ اضداد
anvil,سندان ـ نهائي ـ اھرن
anxiety,فکر ـ تشويش ـ پريشاني
anxious,تردد خيز ـ تشويش ناک ـ پريشان کن
any,کوئي کوئي سا ـ کچھ بھي
anything,کوئي ايک چيز ـ هر چيز
anytime,هر وقت
anyway,بحر حال
anywise,جس طرح بھي هو ـ بهر حال
aorist,مضارع ـ جس ميں کسي زمانے کا  تعين نه هو
aorta,شاه رگ
aortic,شه رگ سے متعلق
apace,جلدي سے ـ تيزي سے
apache,غنڈا ـ پيرس کا شهد
apanage,بادشاه کے چھوٹے بچوں کا وظيفه
aparnassus,يونان کا ايک پهاڑ جو قديم زمانے ميں فنون لطيفه کے ديويوں کا مسکن سمجھاجاتاتھا
apart,الگ ـ عليحده
apartment,کمره ـ حجره
apatetic,بے حس ـ بے پرواه ـ مرده دل
apathetic,لا ابالي ـ مرده دل
apathetically,لا پروائي سے ـ مرده دلي سے
apathy,مرده دلي ـ سرد مهري
ape,گوريلا ـ بے دم بندر ـ ريس کرنا ـ نقل کرنا
aperient,دست آور ـ ملين دوا
aperture,سراخ ـ شگاف ـ روشن دان
apery,بندر خانه ـ نقالي
apetalous,وه پھول جس ميں پنکھڑي يا چهره گل نه هو
apex,نوک ـ سرا
aphasia,بے معني باتيں ـ بات نه کر سکنا
aphelion,اجرام فلکي کي مدار کا وه مقام جب وه سورج سے دور هوتے هيں
apheliotropic,آفتاب کي طرف سے مڑ جانے والا
aphonia,آواز کا بالکل جاتے رهنا
aphonus,بے آواز ـ بے زبان
aphony,بے زباني ـ گله بيٹھ جانا ـ آواز غائب هو جانا
aphorism,کهاوٹ ـ مقوله ـ ضربالمثال
aphorismic,پرحکمت
aphoristic,حکيمانه ـ حکمت آموز
aphoristically,مقولے کے طور پر ـ مثل کے طور پر
aphrodisiac,شهوت انگيز غذا يا دوا
aphyllous,بے برگ
apiarian,پرورش نحل کے متعلق
apiarist,شهد کي مکھياں پالنے والا
apiary,مهال ـ چھتا
apiece,فردا فردا ـ ايک ايک
apish,ميموني ـ ميمون خصلت
apishly,بندر کي طرح
apishness,ريس ـ ميمونيت
aplomb,سيدھا کھڑا هونا ـ اپنے اوپر پورا قابو
apocalypse,الهام بالخصوص وه جو يوحنا کو جزيره پتموس ميں هوا
apocalyptic,کشفي ـ الهامي
apocalyptically,مکاشفانه طور پر ـ کشفي طريقه سے
apocopate,زحافات لگانا ـ حذف کرنا
